"","StudyID","SiteID","study_type","species","Trait","Year","PopID","elev","traitmean","traitvar","lat.pop","long.pop","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","studyunit","ID","family","generation","duration_exp","longevity","growthform","intro","country_of_origin","country_of_exp","region","latitude_site","longitude_site","elevation_site","breed","r.temp","var","elev.diff","symp","direction","factor.site","factor.site2","factor.pop","st.traitmean","sample.size"
"1","Bast2015JPlE","Bast2015JPlE.1","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Survival_after_1_growingseason",2007,"Bast2015JPlE.PO1",1268.333,0.555130927,"0.09596603",38.106,-2.679,619,78,17,36,214,74,74,175,"Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris_Survival_after_1_growingseason","Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",1,"survival",-18.3330000000001,"home site",NA,"low","low","low",0.707106781186548,2
"2","Bast2015JPlE","Bast2015JPlE.1","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Survival_after_1_growingseason",2007,"Bast2015JPlE.PO2",1690,0.204670913,"0.07133758",37.925854,-2.786428,688,86,20,36,236,82,83,199,"Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris_Survival_after_1_growingseason","Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",1,"survival",-440,"foreign site","down","low","low","high",-0.707106781186547,2
"3","Bast2015JPlE","Bast2015JPlE.1","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Total_plant_dry_weight",2007,"Bast2015JPlE.PO1",1268.333,0.430428769,"0.187551867",38.106,-2.679,619,78,17,36,214,74,74,175,"Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris_Total_plant_dry_weight","Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",1,"biomass",-18.3330000000001,"home site",NA,"low","low","low",0.707106781186548,2
"4","Bast2015JPlE","Bast2015JPlE.1","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Total_plant_dry_weight",2007,"Bast2015JPlE.PO2",1690,0.297095436,"0.157676349",37.925854,-2.786428,688,86,20,36,236,82,83,199,"Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris_Total_plant_dry_weight","Bast2015JPlE.1_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",1,"biomass",-440,"foreign site","down","low","low","high",-0.707106781186547,2
"5","Bast2015JPlE","Bast2015JPlE.2","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Survival_after_1_growingseason",2007,"Bast2015JPlE.PO1",1268.333,0.731776362,"0.061995754",38.106,-2.679,619,78,17,36,214,74,74,175,"Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris_Survival_after_1_growingseason","Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.074232,-3.473272,2000,"mixed_mating",1,"survival",731.667,"foreign site","up","high","high","low",0.707106781186547,2
"6","Bast2015JPlE","Bast2015JPlE.2","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Survival_after_1_growingseason",2007,"Bast2015JPlE.PO2",1690,0.505307856,"0.118046709",37.925854,-2.786428,688,86,20,36,236,82,83,199,"Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris_Survival_after_1_growingseason","Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.074232,-3.473272,2000,"mixed_mating",1,"survival",310,"home site",NA,"high","high","high",-0.707106781186548,2
"7","Bast2015JPlE","Bast2015JPlE.2","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Total_plant_dry_weight",2007,"Bast2015JPlE.PO1",1268.333,1.2,"0.393914246",38.106,-2.679,619,78,17,36,214,74,74,175,"Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris_Total_plant_dry_weight","Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.074232,-3.473272,2000,"mixed_mating",1,"biomass",731.667,"foreign site","up","high","high","low",0.707106781186551,2
"8","Bast2015JPlE","Bast2015JPlE.2","reciprocal.transplant","Aquilegia_vulgaris_vulgaris","Total_plant_dry_weight",2007,"Bast2015JPlE.PO2",1690,1.15131397,"0.508990318",37.925854,-2.786428,688,86,20,36,236,82,83,199,"Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris_Total_plant_dry_weight","Bast2015JPlE.2_Aquilegia_vulgaris_vulgaris","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.074232,-3.473272,2000,"mixed_mating",1,"biomass",310,"home site",NA,"high","high","high",-0.707106781186544,2
"9","Bast2015JPlE","Bast2015JPlE.3","reciprocal.transplant","Aquilegia_vulgaris_nevadensis","Survival_after_1_growingseason",2007,"Bast2015JplE.PO3",1575,0.682236377,"0.07133758",36.910007,-4.024145,742,96,10,53,280,45,45,277,"Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis_Survival_after_1_growingseason","Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",3.3,"survival",-325,"home site",NA,"low","low","low",0.707106781186547,2
"10","Bast2015JPlE","Bast2015JPlE.3","reciprocal.transplant","Aquilegia_vulgaris_nevadensis","Survival_after_1_growingseason",2007,"Bast2015JplE.PO4",1934,0.465109696,"0.11153574",37.036,-3.455,877,108,22,42,308,86,90,290,"Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis_Survival_after_1_growingseason","Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",3.3,"survival",-684,"foreign site","down","low","low","high",-0.707106781186548,2
"11","Bast2015JPlE","Bast2015JPlE.3","reciprocal.transplant","Aquilegia_vulgaris_nevadensis","Total_plant_dry_weight",2007,"Bast2015JplE.PO3",1575,0.884647303,"0.284923928",36.910007,-4.024145,742,96,10,53,280,45,45,277,"Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis_Total_plant_dry_weight","Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",3.3,"biomass",-325,"home site",NA,"low","low","low",-0.707106781186547,2
"12","Bast2015JPlE","Bast2015JPlE.3","reciprocal.transplant","Aquilegia_vulgaris_nevadensis","Total_plant_dry_weight",2007,"Bast2015JplE.PO4",1934,0.97538036,"0.460857538",37.036,-3.455,877,108,22,42,308,86,90,290,"Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis_Total_plant_dry_weight","Bast2015JPlE.3_Aquilegia_vulgaris_nevadensis","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.895475,-2.886752,1250,"mixed_mating",3.3,"biomass",-684,"foreign site","down","low","low","high",0.707106781186548,2
"13","Bast2015JPlE","Bast2015JPlE.4","reciprocal.transplant","Aquilegia_vulgaris_nevadensis","Survival_after_1_growingseason",2007,"Bast2015JplE.PO3",1575,0.412455768,"0.074451522",36.910007,-4.024145,742,96,10,53,280,45,45,277,"Bast2015JPlE.4_Aquilegia_vulgaris_nevadensis_Survival_after_1_growingseason","Bast2015JPlE.4_Aquilegia_vulgaris_nevadensis","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.074232,-3.473272,2000,"mixed_mating",3.3,"survival",425,"foreign site","up","high","high","low",-0.707106781186547,2
"14","Bast2015JPlE","Bast2015JPlE.4","reciprocal.transplant","Aquilegia_vulgaris_nevadensis","Survival_after_1_growingseason",2007,"Bast2015JplE.PO4",1934,0.443312102,"0.127105449",37.036,-3.455,877,108,22,42,308,86,90,290,"Bast2015JPlE.4_Aquilegia_vulgaris_nevadensis_Survival_after_1_growingseason","Bast2015JPlE.4_Aquilegia_vulgaris_nevadensis","Ranunculaceae","F0",1,"perennial","forb","native","Spain","Spain","Europe",37.074232,-3.473272,2000,"mixed_mating",3.3,"survival",66,"home site",NA,"high","high","high",0.707106781186547,2
