"","StudyID","SiteID","study_type","species","Trait","studyunit","ID","mean.elev","r.elev","mean.lat","mean.long","mean.temp","r.temp","mean.seasonality","dist.km","mean.dist.km","studysite","Coord","coor.var","family","generation","duration_exp","longevity","growthform","intro","country_of_origin","country_of_exp","region","elevation_site","breed","Year","TRAIT_CAT1","TRAIT_CAT2","TRAIT_CAT3","TRAIT_CAT4","n","estimate","p.value"
"1","Albe2011JEvo","Albe2011JEvo.1","common.garden","Quercus_petraea","Days_to_leaf_unfolding","Albe2011JEvo.1_Quercus_petraea_Days_to_leaf_unfolding","Albe2011JEvo.1_Quercus_petraea",851.6,1499,43.056667,-0.29,8.37,9.3,525.21,108.823465259645,41.9367331112325,"Garden","extracted",1,"Fagaceae","F1",4,"perennial","tree","native","France_Pyrennees","France","Europe",59,"outcrossing",2007,"PHENOLOGY","LEAF_BUD",NA,"first",10,-0.220397727041669,0.00755118749511919
"2","Albe2011JEvo","Albe2011JEvo.2","common.garden","Quercus_petraea","Days_to_leaf_unfolding","Albe2011JEvo.2_Quercus_petraea_Days_to_leaf_unfolding","Albe2011JEvo.2_Quercus_petraea",851.6,1499,43.056667,-0.29,8.37,9.3,525.21,108.823465259645,41.9367331112325,"Garden","extracted",1,"Fagaceae","F1",4,"perennial","tree","native","France_Pyrennees","France","Europe",6,"outcrossing",2007,"PHENOLOGY","LEAF_BUD",NA,"first",10,-0.252887405277771,0.000433604625896075
"3","Alex2010JBio","Alex2010JBio.1","common.garden","Lactuca_serriola","Bolting_to_budding","Alex2010JBio.1_Lactuca_serriola_Bolting_to_budding","Alex2010JBio.1_Lactuca_serriola",880,979,46.269139,7.488815,7.38,5,633.08,76.4901043756759,23.1879938590061,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","native","Switzerland","Switzerland","Europe",1300,"mixed_mating",2008,"PHENOLOGY","FLOWERING",NA,"duration",10,0.206629838116704,0.26044779459675
"4","Alex2010JBio","Alex2010JBio.1","common.garden","Lactuca_serriola","Budding_to_flowering","Alex2010JBio.1_Lactuca_serriola_Budding_to_flowering","Alex2010JBio.1_Lactuca_serriola",880,979,46.269139,7.488815,7.38,5,633.08,76.4901043756759,23.1879938590061,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","native","Switzerland","Switzerland","Europe",1300,"mixed_mating",2008,"PHENOLOGY","FLOWERING",NA,"duration",10,-0.372402244827636,0.0215911048255334
"5","Alex2010JBio","Alex2010JBio.1","common.garden","Lactuca_serriola","Probability_of_flowering","Alex2010JBio.1_Lactuca_serriola_Probability_of_flowering","Alex2010JBio.1_Lactuca_serriola",880,979,46.269139,7.488815,7.38,5,633.08,76.4901043756759,23.1879938590061,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","native","Switzerland","Switzerland","Europe",1300,"mixed_mating",2008,"FITNESS","FLOWER",NA,"NAN",10,-0.407305643189579,0.00834135602934275
"6","Alex2010JBio","Alex2010JBio.1","common.garden","Lactuca_serriola","Time_to_bolting","Alex2010JBio.1_Lactuca_serriola_Time_to_bolting","Alex2010JBio.1_Lactuca_serriola",880,979,46.269139,7.488815,7.38,5,633.08,76.4901043756759,23.1879938590061,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","native","Switzerland","Switzerland","Europe",1300,"mixed_mating",2008,"PHENOLOGY","FLOWERING",NA,"first",10,0.467976451748389,0.000532326430981756
"7","Alex2010JBio","Alex2010JBio.1","common.garden","Lactuca_serriola","Time_to_flowering","Alex2010JBio.1_Lactuca_serriola_Time_to_flowering","Alex2010JBio.1_Lactuca_serriola",880,979,46.269139,7.488815,7.38,5,633.08,76.4901043756759,23.1879938590061,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","native","Switzerland","Switzerland","Europe",1300,"mixed_mating",2008,"PHENOLOGY","FLOWERING",NA,"first",10,0.428022110940725,0.00404618028940958
"8","Alex2010JBio","Alex2010JBio.2","common.garden","Lactuca_serriola","Bolting_to_budding","Alex2010JBio.2_Lactuca_serriola_Bolting_to_budding","Alex2010JBio.2_Lactuca_serriola",1090.7,597,45.258127,-117.793909,6.47,7.1,719.68,82.8865323421928,32.3249201919992,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","introduced","USA","Switzerland","Europe",1300,"mixed_mating",2008,"PHENOLOGY","FLOWERING",NA,"duration",10,0.118363324906943,0.473113835016387
"9","Alex2010JBio","Alex2010JBio.2","common.garden","Lactuca_serriola","Budding_to_flowering","Alex2010JBio.2_Lactuca_serriola_Budding_to_flowering","Alex2010JBio.2_Lactuca_serriola",1090.7,597,45.258127,-117.793909,6.47,7.1,719.68,82.8865323421928,32.3249201919992,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","introduced","USA","Switzerland","Europe",1300,"mixed_mating",2008,"PHENOLOGY","FLOWERING",NA,"duration",10,0.317298706881136,0.0273805719098667
"10","Alex2010JBio","Alex2010JBio.2","common.garden","Lactuca_serriola","Probability_of_flowering","Alex2010JBio.2_Lactuca_serriola_Probability_of_flowering","Alex2010JBio.2_Lactuca_serriola",1090.7,597,45.258127,-117.793909,6.47,7.1,719.68,82.8865323421928,32.3249201919992,"Garden","extracted",1,"Asteraceae","F1",1,"annual","forb","introduced","USA","Switzerland","Europe",1300,"mixed_mating",2008,"FITNESS","FLOWER",NA,"NAN",10,-0.195396350010909,0.221285350909718
